Year,Month,Day,Hour,Minute,Temperature,Relative humidity 
2017,8,28,0,0,15.8,97
2017,8,28,1,0,15.73,97
2017,8,28,2,0,15.55,97
2017,8,28,3,0,15.15,97
2017,8,28,4,0,14.8,95
2017,8,28,5,0,14.39,94
2017,8,28,6,0,14.23,89
2017,8,28,7,0,15.99,95
2017,8,28,8,0,16.77,92
2017,8,28,9,0,17.18,92
2017,8,28,10,0,17.67,87
2017,8,28,11,0,18.3,82
2017,8,28,12,0,18.87,79
2017,8,28,13,0,19.36,75
2017,8,28,14,0,19.41,75
2017,8,28,15,0,19.16,77
2017,8,28,16,0,18.54,80
2017,8,28,17,0,17.87,84
2017,8,28,18,0,16.94,91
2017,8,28,19,0,16.28,97
2017,8,28,20,0,16.27,97
2017,8,28,21,0,16,97
2017,8,28,22,0,15.65,97
2017,8,28,23,0,15.33,97
2017,8,29,0,0,15.18,97
2017,8,29,1,0,15.05,97
2017,8,29,2,0,14.97,97
2017,8,29,3,0,14.88,97
2017,8,29,4,0,14.62,97
2017,8,29,5,0,14.37,97
2017,8,29,6,0,13.88,98
2017,8,29,7,0,14.66,76
2017,8,29,8,0,16.6,76
2017,8,29,9,0,18.38,76
2017,8,29,10,0,20.74,66
2017,8,29,11,0,22.59,58
2017,8,29,12,0,23.68,54
2017,8,29,13,0,23.98,53
2017,8,29,14,0,22.78,57
2017,8,29,15,0,21.43,63
2017,8,29,16,0,19.82,73
2017,8,29,17,0,18.48,81
2017,8,29,18,0,17.49,86
2017,8,29,19,0,16.83,91
2017,8,29,20,0,16.35,96
2017,8,29,21,0,16.18,97
2017,8,29,22,0,16.01,97
2017,8,29,23,0,15.88,97
2017,8,30,0,0,15.84,97
2017,8,30,1,0,15.65,97
2017,8,30,2,0,15.14,94
2017,8,30,3,0,14.89,91
2017,8,30,4,0,14.69,88
2017,8,30,5,0,14.7,87
2017,8,30,6,0,14.04,86
2017,8,30,7,0,16.69,87
2017,8,30,8,0,18.99,78
2017,8,30,9,0,20.62,74
2017,8,30,10,0,21.89,69
2017,8,30,11,0,21.75,67
2017,8,30,12,0,22.77,64
2017,8,30,13,0,22.23,63
2017,8,30,14,0,21.31,64
2017,8,30,15,0,21.25,64
2017,8,30,16,0,20.51,68
2017,8,30,17,0,19.53,73
2017,8,30,18,0,18.34,79
2017,8,30,19,0,17.62,85
2017,8,30,20,0,17.02,90
2017,8,30,21,0,15.8,97
2017,8,30,22,0,16.05,96
2017,8,30,23,0,15.95,96
2017,8,31,0,0,15.43,96
2017,8,31,1,0,15.02,97
2017,8,31,2,0,14.73,97
2017,8,31,3,0,14.72,95
2017,8,31,4,0,14.77,92
2017,8,31,5,0,14.67,91
2017,8,31,6,0,14.47,91
2017,8,31,7,0,13.91,76
2017,8,31,8,0,19.13,67
2017,8,31,9,0,22.38,53
2017,8,31,10,0,24.25,47
2017,8,31,11,0,25.14,46
2017,8,31,12,0,25.9,43
2017,8,31,13,0,26.11,40
2017,8,31,14,0,25.73,40
2017,8,31,15,0,25.14,40
2017,8,31,16,0,24.49,39
2017,8,31,17,0,23.54,40
2017,8,31,18,0,21.55,48
2017,8,31,19,0,18.9,64
2017,8,31,20,0,17.1,79
2017,8,31,21,0,16.62,84
2017,8,31,22,0,16.9,88
2017,8,31,23,0,16.62,91
2017,9,1,0,0,16.31,93
2017,9,1,1,0,16.01,96
2017,9,1,2,0,15.84,96
2017,9,1,3,0,15.58,96
2017,9,1,4,0,15.32,96
2017,9,1,5,0,15.08,96
2017,9,1,6,0,14.68,96
2017,9,1,7,0,14.86,64
2017,9,1,8,0,18.37,63
2017,9,1,9,0,20.05,58
2017,9,1,10,0,21.17,58
2017,9,1,11,0,22.47,56
2017,9,1,12,0,23.83,54
2017,9,1,13,0,24.78,51
2017,9,1,14,0,25.35,48
2017,9,1,15,0,24.27,48
2017,9,1,16,0,23.81,49
2017,9,1,17,0,23.57,52
2017,9,1,18,0,20.94,67
2017,9,1,19,0,18.93,79
2017,9,1,20,0,18.94,82
2017,9,1,21,0,18.55,83
2017,9,1,22,0,17.97,83
2017,9,1,23,0,16.42,88
2017,9,2,0,0,15.54,89
2017,9,2,1,0,15.07,89
2017,9,2,2,0,15.04,86
2017,9,2,3,0,15.46,85
2017,9,2,4,0,15.42,85
2017,9,2,5,0,15.18,86
2017,9,2,6,0,14.21,87
2017,9,2,7,0,14.86,71
2017,9,2,8,0,17.71,72
2017,9,2,9,0,19.34,75
2017,9,2,10,0,21.01,72
2017,9,2,11,0,22.22,67
2017,9,2,12,0,23.32,60
2017,9,2,13,0,21.88,62
2017,9,2,14,0,21.98,61
2017,9,2,15,0,21.42,65
2017,9,2,16,0,20.23,72
2017,9,2,17,0,19.25,78
2017,9,2,18,0,17.84,85
2017,9,2,19,0,17.1,91
2017,9,2,20,0,16.67,95
2017,9,2,21,0,16.55,97
2017,9,2,22,0,16.53,97
2017,9,2,23,0,16.29,97
2017,9,3,0,0,15.97,97
2017,9,3,1,0,15.64,97
2017,9,3,2,0,15.41,96
2017,9,3,3,0,15.24,94
2017,9,3,4,0,15.12,93
2017,9,3,5,0,14.24,93
2017,9,3,6,0,13.83,89
2017,9,3,7,0,14.83,67
2017,9,3,8,0,18.81,62
2017,9,3,9,0,20.93,59
2017,9,3,10,0,22.95,56
2017,9,3,11,0,24.82,47
2017,9,3,12,0,26.07,39
2017,9,3,13,0,26.54,37
2017,9,3,14,0,26.47,37
2017,9,3,15,0,26.02,37
2017,9,3,16,0,25.34,38
2017,9,3,17,0,24.15,41
2017,9,3,18,0,21.35,58
2017,9,3,19,0,19.36,77
2017,9,3,20,0,18.25,89
2017,9,3,21,0,17.56,89
2017,9,3,22,0,17.03,88
2017,9,3,23,0,16.25,86
2017,9,4,0,0,15.42,85
2017,9,4,1,0,14.26,86
2017,9,4,2,0,13.85,82
2017,9,4,3,0,13.6,79
2017,9,4,4,0,13.56,77
2017,9,4,5,0,13.47,78
2017,9,4,6,0,13.12,79
2017,9,4,7,0,13.66,62
2017,9,4,8,0,17.16,65
2017,9,4,9,0,18.66,70
2017,9,4,10,0,20.6,69
2017,9,4,11,0,22.29,64
2017,9,4,12,0,23.02,62
2017,9,4,13,0,22.6,63
2017,9,4,14,0,24.19,57
2017,9,4,15,0,22.98,58
2017,9,4,16,0,22.35,58
2017,9,4,17,0,21.84,59
2017,9,4,18,0,19.9,64
2017,9,4,19,0,18.58,69
2017,9,4,20,0,18.22,75
2017,9,4,21,0,17.61,81
2017,9,4,22,0,17.24,83
2017,9,4,23,0,16.81,82
